"Nome";"WhatsApp";"Instagram";"Insta estado";"Site";"Sinal";"Temperatura"
"Lider Veiculos";"(77) 98828-6526 (web: 98807-1022)";"@lider_veiculos";"Ativo ~7.3K";"Nao tem";"Insta forte, 15 anos, sem site. Landing + automacao";"Quente"
"DS Veiculos";"(77) 98837-3670";"@da_silva_ds_veiculos (confirmar)";"Ativo ~4.2K";"Nao tem";"Bom volume Insta, sem site";"Quente"
"Brumado Veiculos";"(77) 98818-5097";"@brumadoveiculos";"Ativo ~2.5K";"Nao tem";"Insta ativo, sem site";"Quente"
"Pirracar Veiculos";"(77) 99127-9876";"@veiculos_pirracar";"Existe, a confirmar";"Nao tem";"Vende so pelo Insta";"Quente"
"Saguascar";"(77) 3424-3019 (fixo)";"Nao encontrado";"-";"Nao tem";"So OLX/diretorios. Site proprio + sair do classificado";"Quente"
"Conquista Car";"(77) 98825-3656";"Nao encontrado em VCA";"-";"Nao tem";"Multimarca pequena, sem site e sem @";"Quente"
"Imports Motors";"(77) 98124-4930";"Nao encontrado em VCA";"-";"Nao tem";"Multimarca pequena, sem presenca";"Quente"
"Eucar Veiculos";"(77) 98851-8466";"Nao encontrado";"-";"Nao tem";"So diretorios. Sem Insta nem site";"Quente"
"RM Veiculos (Rildo Moreira)";"(77) 98148-5540 [verificar]";"Nao confirmado [verificar]";"-";"Nao tem";"Loja pequena, sem presenca. Verificar manual";"Quente"
"Conquista Motors Premium";"(77) 99931-2443 [verificar]";"Nao encontrado [verificar]";"-";"Nao tem";"Loja nova/pequena. Verificar manual";"Quente"
"Top Veiculos";"(77) 3028-0801 (so fixo) [verificar]";"Nao encontrado [verificar]";"-";"Nao tem";"Invisivel na web, so fixo";"Quente"
"FR Veiculos";"(77) 3424-5939 (so fixo) [verificar]";"Nao encontrado [verificar]";"-";"Nao tem";"Invisivel na web, so fixo";"Quente"
"Pinho Car";"sem telefone [verificar]";"Nao confirmado [verificar]";"-";"Nao tem";"Sem telefone e sem @. Verificar identidade";"Quente"
"Portela Veiculos";"(77) 98807-0997";"@portelaveiculos";"Ativo ~3.5K";"portelaveiculos.com.br (datado)";"Site velho, email hotmail. Modernizar";"Morno"
"Arena Veiculos";"(77) 3421-8092 (fixo)";"@arena.v.virtual";"Ativo ~5.7K";"Nao tem";"Insta forte, sem site proprio";"Morno"
"Ricardo Veiculos";"(77) 98103-5448";"@ricardo.veiculos.vca";"Ativo ~7.2K";"ricardoveiculosseminovos.com.br (validar)";"Insta forte + site a validar";"Morno"
"Karangos Multimarcas";"(77) 99189-3426";"@karangosmultimarcas";"Ativo ~3K";"karangos.com (confirmar)";"Insta ativo; site a confirmar";"Morno"
"Hed Car Veiculos";"(77) 3423-0129 (fixo)";"@hedcar.veiculos";"Ativo ~3.3K";"hedcar.com.br (datado)";"Insta ativo + site antigo. Modernizar";"Morno"
"Andrade Automoveis";"(77) 98802-4626 (web: 3422-2198)";"@andradeautomoveis";"Existe";"andradeautomoveis.com.br (validar)";"Tem site e Insta. Modernizar/automatizar";"Morno"
"Coreana Veiculos (Kia)";"(77) 3425-8589";"@coreana_kia";"Ativo ~1.1K";"coreanaveiculos.com.br";"De marca, IG subdimensionado. Gestao social";"Morno"
"Joncar Veiculos";"(77) 99804-8085";"@joncarveiculos";"Ativo 13K";"joncar.com.br (moderno)";"Presenca completa e forte";"Frio"
"Aky Veiculos";"(77) 3421-9400";"@akyveiculos";"Ativo 17K";"akyveiculos.com (moderno)";"Presenca completa";"Frio"
"Citycar";"(77) 3421-0707";"@citycarvca";"Ativo 12K";"citycarseminovos.com.br (moderno)";"Presenca completa";"Frio"
"Stopcar";"(77) 98821-4463";"@stopcarvca";"Ativo";"stopcarvca.com.br (funcional)";"Presenca completa";"Frio"
"SportCar Automoveis";"(77) 3421-4402";"@sportcarautomoveis";"Ativo ~6.3K";"sportcarautomoveis.com.br";"Presenca completa";"Frio"
"HomeCar Veiculos";"(77) 99912-0861";"@homecarvca";"Ativo 19K";"homecarveiculos.com.br";"Presenca muito forte";"Frio"
"Bello Veiculos";"(77) 98856-4040";"@belloveiculosvca";"Ativo ~4.9K";"belloveiculos.com.br (moderno)";"Presenca completa e bem feita";"Frio"
"Movel Veiculos (VW)";"(77) 2101-1000";"@movelveiculos";"Ativo ~10K";"rede VW";"Concessionaria de marca";"Frio"
"Chevrolet Topvel";"(77) 3429-8900";"@topvelveiculos";"Ativo ~34K";"topvelchevrolet.com.br";"De marca, robusta";"Frio"
"BYD Conquista";"(77) 2101-1040 (fixo)";"@bydconquista";"Ativo ~5K";"bydconquista.com.br (moderno)";"Rede montadora, redonda";"Frio"
